算盘,abacus
放弃,abandon
贬抑,abase
减轻,abate
缩短,abbreviation
让位,abdicate
腹,abdomen
绑架,abduct
越轨的,aberrant
教唆,abet
中止,abeyance
憎恨,abhor
可恨的,abhorrent
容忍,abide
极可怜的,abject
誓绝,abjure
净礼,ablution
克己,abnegation
不正常的,abnormal
住处,abode
废除,abolition
痛恨,abominate
可厌的,abominable
原始居民,aboriginal
无结果的,abortive
充满,abound
磨损,abrade
表面磨损,abrasion
删减,abridge
删节,abridgment
废止,abrogate
潜逃,abscond
赦免,absolution
自动戒绝,abstain
有节制的,abstemious
摘要,abstract
心不在焉的,abstracted
难懂的,abstruse
荒谬的,absurd
荒谬,absurdity
充裕,abundance
辱骂,abuse
接界,abut
极深的,abysmal
深渊,abyss
加速,accelerate
应允,accede
着重,accentuate
通路,access
易达到的,accessible
意外的,accidental
欢呼,acclaim
欢呼,acclamation
向上的陡坡,acclivity
推崇备至,accolade
乐于助人的,accommodating
同谋者,accomplice
同意,accord
军服,accoutrements
自然的增加,accretion
增大,accrue
积聚,accumulate
苦涩,acerbity
有酸味的,acidulous
顶点,acme
助手,acolyte
橡实,acorn
听觉的,acoustic
声学,acoustics
熟知,acquaintance
勉强同意,acquiesce
默认的,acquiescent
后天习得的,acquired
贪得的,acquisitive
宣告无罪,acquittal
尖刻,acrimony
尖刻的,acrimonious
特技演员,acrobat
首字母简略词,acronym
使活泼,activate
敏锐,acumen
灵敏的,acute
格言,adage
强硬的,adamant
有适应能力的,adaptable
沈溺,addiction
使人上瘾的,addictive
使腐坏,addle
头脑混乱的,addled
给予,adduce
老练的,adept
粘着,adhere
拥护者,adherent
接近的,adjacent
充当裁判,adjudicate
郑重敦促,adjure
副官,adjutant
训诫,admonish
警告的,admonitory
泥砖,adobe
收养,adopt
崇拜,adore
爱慕,adoration
迷人的,adorable
装饰,adorn
装饰,adornment
熟练的,adroit
谄媚,adulate
掺假,adulterate
预示,adumbrate
到来,advent
对手,adversary,n
不幸,adversity
适当的,advisable
劝告的,advisory
千万年,aeon
充气,aerate
航空学,aeronautics
美学,aesthetics
审美家,aesthete
易于交谈的,affable
做作,affectation
不自然的,affected
亲爱,affection
挚爱的,affectionate
宣誓书,affidavit
加入,affiliate
入会,affiliation
密切关系,affinity
赞成的,affirmative
痛苦,affliction
侮辱,affront
不幸事件之后果,aftermath
议程,agenda
凝聚,agglomerate
增大,aggrandize
加重,aggravate
集合,aggregate
聚集,aggregation
好斗的,aggressive
愤愤不平的,aggrieved
惊骇的,aghast
被鼓动的,agitated
鼓动,agitation
不可知论的,agnostic
兴奋的,agog
极大痛苦,agony
一致,agreement
农学家,agronomist
疾病,ailment
空气传播的,airborne
密封的,airtight
雪白的,alabaster
炼金术,alchemy
凹室,alcove
化名,alias
疏远的,alienated
碱,alkali
指控,allegation
忠诚,allegiance
过敏症,allergy
过敏的,allergic
缓和,alleviate
小巷,alley
拨给,allocation
对抗疗法,allopathy
合金,alloy
间接提到,allude
暗示,allusion
引诱,allure
诱惑物,allurement
冲积的,alluvial
盟国,ally
杏树,almond
改变,alteration
争吵,altercation
利他主义,altruism
铝,aluminium
积聚,amass
混合物,amalgam
合并,amalgamate
业余爱好的,amateurish
十分灵巧的,ambidextrous
含糊的,ambiguous
模棱两可,ambiguity
有矛盾看法的,ambivalent
矛盾心理,ambivalence
漫步,amble
愿服从的,amenable
改正,amendment
愉快,amenity
紫水晶,amethyst
和蔼的,amiable
友好的,amicable
n：健忘症,amnesia
大赦,amnesty
不知是非的,amoral
容易动情的,amorous
无定形的,amorphous
分期偿还,amortize
富足的,ample
放大,amplify
切除,amputate
年代错误,anachronism
镇痛剂,analgesic
相似,analogy
类似的,analogous
无政府,anarchy
无政府的,anarchic
n咒诅,anathema
隐士,anchorite
辅助的,ancillary
短故事,anecdote
贫血,anemia
麻醉剂,anesthetic
极大痛苦,anguish
很痛苦的,anguished
兴奋,animation
脚踝,ankle
憎恶,animosity
憎恨,animus
消灭,annihilate
注解,annotate
注解,annotation
宣告无效,annul
止痛药,anodyne
异常反常,anomaly
反常的,anomalous
无名匿名,anonymity
匿名的,anonymous
厌食症,anorexia
对抗,antagonism
敌手,antagonist
居先,antecedence
写上较早日期,antedate
史前的,antediluvian
触角,antenna
较早的,anterior
圣歌,anthem
诗集,anthology
像人类的,anthropoid
人类学,anthropology
抗生素,antibiotic
抗体,antibody
抗原注射于动物体内,antigen
古怪的,antic,adj
古怪滑稽的动作,antics
预期,anticipate
预期的,anticipatory,adj
解毒药,antidote
陈旧的,antiquated,adj
杀菌剂,antiseptic
对立,antithesis
对立的,antithetic
铁砧,anvil
主动脉,aorta
漠然,apathy
冷漠的,apathetic
孔隙,aperture
顶点,apex
失语症,aphasia
格言,aphorism
养蜂场,apiary
养蜂业,apiculture
沉着,aplomb
预示灾祸的,apocalyptic,adj
伪经,apocrypha
伪经的,apocryphal,adj
远地点,apogee
道歉,apology
道歉的,apologetic,adj
背教,apostasy
背教者,apostate,n
书写中撇号,apostrophe,n
神化,apotheosis
使惊骇,appal
骇人的,appalling,adj
衣服,apparel
幽灵,apparition
恳求,appeal
吸引人的,appealing
使平静,appease
平息,appeasement
名称,appellation
附加物,appendage
胃口,appetite
开胃的,appetizing,adj
生效的,applicable
适当的,apposite
明显的,appreciable
感谢的,appreciative
逮捕,apprehend
焦虑,apprehension
恐惧的,apprehensive
通知,apprise
可接近的,approachable
称赞,approbation
表示赞许的．,approbatory
拨款,appropriate
拨款,appropriation
大约的,approximate
围裙,apron
水生的,aquatic
高架渠,aqueduct
鹰的,aquiline
蔓藤图饰,arabesque
可耕的,arable
权威人士,arbiter
专横的,arbitrary
仲裁,arbitrate
公断人,arbitrator
树木的．,arboreal
植物园,arboretum
神秘的,arcane
考古学,archaeology
弓箭手,archer
原型,archetype
群岛,archipelago
档案,archives
热心的,ardent
热情,ardor
费力的,arduous
竞技场,arena
独唱曲,aria
贵族,aristocrat
算术,arithmetic
舰队,armada
休战,armistice
芳香,aroma
芳香的,aromatic
傲慢的,arrogant
傲慢,arrogance
冒称具有⋯⋯权力,arrogate
纵火放火,arson
纵火犯,arsonist
关节炎,arthritis,n
清楚说话,articulate
巧办法,artifice
大炮,artillery
粗俗的,artless
上升,ascend
统治权,ascendancy
上升攀登,ascent
查明,ascertain
苦行者,ascetic,禁欲的
禁欲主义,asceticism
无菌的,aseptic
愚笨的,asinine
芦笋,asparagus
粗鲁,asperity
诽谤,aspersion
无法呼吸,asphyxiate
窒息,asphyxia
渴望,aspiration
有抱负者,aspirant
抨击,assail
突然袭击猛袭,assault
同意,assent
断言,assert
言语果断的,assertive
财产,asset
勤勉的,assiduous
勤勉,assiduity
同化,assimilate
缓和,assuage
自信的,assured
自信,assurance
哮喘症,asthma
散光的,astigmatic
散光,astigmatism
迷路的,astray
止血的,astringent
星盘,astrolabe
占星学,astrology
机敏的,astute
分离,asunder
避难所,asylum
不对称的,asymmetric
无神论,atheism
运动,athletics
地图集,atlas
无调的,atonal
赎罪,atone
赎罪,atonement
残忍的,atrocious
残暴,atrocity
萎缩,atrophy
完成,attainment
留心听的,attentive
变薄,attenuate
证明,attest
阁楼,attic
穿着,attire
律师,attorney
属性,attribute
归属,attribution
消磨,attrition
使调和,attune,to
拍卖,auction
大胆的,audacious
大胆,audacity
试唱,audition
审计,audit
听觉的,auditory
螺丝钻,auger
增大,augment
增加,augmentation
预言,augury
耳的,auricular
极光,aurora
幸运的,auspicious
资助,auspices
朴素的,austere
朴素,austerity
真正的,authentic
证明为真,authenticate
权威性的,authoritative
授权,authorize
授权,authorization
独裁者,autocrat
独裁政体,autocracy
无意识行动,automatism
自治的,autonomous
自治,autonomy
辅助的,auxiliary
雪崩,avalanche
先锋派,avant-garde
贪财,avarice
